maximum,minimum,mean,standard_deviation,rms,skewness,kurtosis,form_factor,crest_factor,fault
3.708878,-4.11028,-0.134829536288029,0.8862879557365274,0.8964730306732963,0.00886951534148996,0.037444504681937385,-6.648936541309538,4.137188596978144,normal
3.331385,-4.0005,-0.14307817536409875,0.890838057345444,0.9022428377441997,0.026481352621870166,0.028858186356099047,-6.305943135270027,3.692337429166161,normal
3.373631,-3.628816,-0.13938053268891484,0.8697672217572,0.8808525957988989,0.03138366875106564,0.014190628253507143,-6.319767752393979,3.8299608993491683,normal
3.227808,-4.332289,-0.13281414514427184,0.8740280588120654,0.8840496504389118,-0.0196610661787181,0.016618838615656717,-6.656291387326225,3.6511614459634276,normal
3.637024,-3.487029,-0.13839698620382784,0.8739189672102228,0.8847978480687383,0.02778395824219709,0.057903589612394946,-6.393187253121457,4.110570576023198,normal
3.421119,-3.921534,-0.1365563629005415,0.8874189969734769,0.8978522217170863,0.004154964698769244,0.010379228763664816,-6.574957055432281,3.810336397516869,normal
3.495175,-3.86489,-0.140427493123412,0.8867021118514251,0.8977410797779063,0.000980726950047922,0.02071568951738767,-6.392915374405665,3.8932996147003514,normal
3.522753,-3.541814,-0.1372150941019833,0.8840732447604867,0.8946463779624556,0.01588127222638923,0.0020906461290288725,-6.5200288919929,3.9375926475251815,normal
3.403744,-4.139088,-0.11711229134792825,0.8615280710776391,0.8694398415897309,-0.006906487245874582,0.06672332205562226,-7.423984550065005,3.914870054466805,normal
3.609533,-3.440612,-0.11587085574003113,0.8594868824879555,0.8672505891662017,0.02808389625171354,-0.007845167510293294,-7.484630916267442,4.162041565714361,normal
3.544288,-3.818731,-0.1157115228371358,0.8673065146704663,0.8749795461710066,-0.013987647151277524,0.03338105507101918,-7.561732182909234,4.0507095457375435,normal
4.258688,-4.005496,-0.10963412921625461,0.8641999107826714,0.8711146504806759,-0.010938606296718929,0.05879746807000963,-7.945652113151663,4.888780136633084,normal
3.621765,-3.757916,-0.10919792543978019,0.8682828361654297,0.8751106693094591,-0.013112392326633743,0.027386492175313304,-8.013986216176423,4.138636548515512,normal
3.547069,-3.854123,-0.11012027393561317,0.8772443053266775,0.8841170917100692,-0.00994958323481968,0.01035363820435542,-8.028649585697622,4.011990078304243,normal
3.766493,-3.451379,-0.11452368026165369,0.8838274059478441,0.8912043683486783,0.0018494693783395139,0.02681147876011991,-7.781834868671113,4.226295487059802,normal
3.823973,-3.802094,-0.12077174079729118,0.87729133651792,0.885553434946443,-0.016494411961073506,-0.03163282332639783,-7.332455664713788,4.3181730758362065,normal
4.026231,-3.81739,-0.05828309611467737,0.8541964983943541,0.8561709249655,0.0118527328691133,0.03290902349286684,-14.689866908938821,4.702601878430104,normal
3.210715,-3.559498,-0.05951911963386691,0.8714055414098271,0.8734239565619843,-0.017852579007043984,0.0025241696594480167,-14.674678690391756,3.6760097726631855,normal
4.082026,-3.570462,-0.060649471315667246,0.8700095426881038,0.8721091066012974,0.005041063178480121,0.024861010750969914,-14.379500557592003,4.6806368252569825,normal
3.818276,-3.31956,-0.05340927188344065,0.8604289645249904,0.8620732782669055,-0.006761860565381926,-0.011175828536398758,-16.140891793999316,4.429178001754311,normal
3.353056,-4.249126,-0.06469569435311952,0.8451726446586356,0.8476336629030454,-0.004018318433823256,-0.030093625573948124,-13.101855871219565,3.955784375665518,normal
4.219469,-4.268976,-0.05776487729258922,0.9065530661992546,0.9083792166036805,0.0016419116178625973,0.03490749334494714,-15.7254591228954,4.645052333733572,normal
3.477911,-3.654732,-0.05588794629505775,0.901883055983822,0.9036007404280598,-0.014347431574215572,0.03769409821286551,-16.168079171446788,3.8489466026249834,normal
3.764918,-3.583051,-0.05526545826471997,0.8874603021169847,0.889167336508237,-0.00046188896205189765,0.010071142749511264,-16.08902494301505,4.234206369731085,normal
3.555794,-3.778491,-0.11324052687383607,0.7146424687568254,0.7235491200663042,-0.0008163447398372906,0.15109576532963276,-6.389489170007371,4.914378169203158,outer race
2.738677,-3.340529,-0.11416657555631853,0.710854501139553,0.719954394586915,-0.007597599348373295,0.13295940492646974,-6.3061749122164095,3.8039590015578115,outer race
3.734547,-3.136154,-0.10855111516510062,0.7083125177754539,0.7165725835324738,-0.0032239636222374615,0.13922704444193545,-6.60124571214772,5.211679997007249,outer race
3.053274,-3.463722,-0.10969911015320145,0.7175332875069094,0.7258607679616113,-0.01707960182292271,0.1410618451561696,-6.616833691247839,4.206418275744969,outer race
3.204119,-3.373545,-0.1115126580736654,0.709264641740091,0.7179677347253257,-0.023228194661998856,0.16067658170089594,-6.438441582578323,4.462761827626983,outer race
3.393099,-4.393842,-0.10982408348550748,0.7168012700150361,0.7251560933319595,-0.027308875110548074,0.23462545301796256,-6.602887730245907,4.679129129853037,outer race
3.026448,-3.45923,-0.11059961371898092,0.713728001277434,0.7222368199569287,-0.008084209005974478,0.1545855360804782,-6.530192969679239,4.190381764502791,outer race
2.673912,-3.8041,-0.115945654491033,0.7108722056822063,0.7202561269714327,-0.025116818362813518,0.19737223464455056,-6.212014845516577,3.712446031168652,outer race
3.675283,-3.960506,-0.11025750669299336,0.8086252197191537,0.8160965681600225,0.05685229480959308,0.4961327852049826,-7.401732477339648,4.503490326256758,outer race
4.331218,-4.401201,-0.11223529115165343,0.8077547687169115,0.8155039608729009,0.08409865509647288,0.5010525323368316,-7.266020807759869,5.311093762639659,outer race
4.348754,-3.958833,-0.11651690723163322,0.812085718081346,0.8203910011989021,0.08372508670435456,0.5203735480517575,-7.040961013220009,5.300830937497879,outer race
4.021531,-4.312316,-0.11004159745459081,0.8112910564043138,0.8187089582166865,0.05930832296974995,0.48442270524536646,-7.439995212306243,4.912039815418298,outer race
4.331046,-3.474994,-0.12252623600756996,0.8142964856148784,0.8234520863278678,0.09738363679762249,0.42499797923994187,-6.7206184826978035,5.259621138752618,outer race
3.512933,-3.902324,-0.1256695359003547,0.8119310345317797,0.8215879962697621,0.05624463300106582,0.44703215388854867,-6.5376862449879,4.275784232425123,outer race
4.128997,-4.126093,-0.1210408833847137,0.8269982056657179,0.8357979730992813,0.08995041914135425,0.4832999574687511,-6.905088179526906,4.940185466936437,outer race
3.944238,-3.618824,-0.12227303996865922,0.8225984517580128,0.831625174905876,0.08698019292974032,0.5341844379162892,-6.801378088898717,4.742807359633398,outer race
4.978158,-5.271848,-0.1183777183499604,0.9838465516319329,0.9909293061030553,0.00028966542528038804,1.1298542389641923,-8.370910674030462,5.0237266869996855,outer race
